"Indikator";"StartTatort";"StopTatort";"TatortKat";"AntalTurerPerRusningTimma";"AntalTurerPerEjRusningTimma";"MaxAntalByte";"StartHplID";"StopHplID"
"1.1";"Uppsala";"Stockholm";"Storregional";"2";"1";1;700600;191718
"1.1";"Uppsala";"Gävle";"Storregional";"2";"1";1;700600;480119
"1.1";"Uppsala";"Gävle";"Storregional";"2";"1";1;700600;480334
"1.1";"Uppsala";"Västerås";"Storregional";"2";"1";1;700600;660600
"1.1";"Uppsala";"Västerås";"Storregional";"2";"1";1;700600;793052
"1.1";"Uppsala";"Västerås";"Storregional";"2";"1";1;700600;793053
"1.1";"Uppsala";"Västerås";"Storregional";"2";"1";1;700600;793139
"1.2";"Uppsala";"Enköping";"Storregional";"2";"1";1;700600;781210
"1.2";"Uppsala";"Enköping";"Storregional";"2";"1";1;700600;781002
"1.2";"Uppsala";"Bålsta";"Storregional";"2";"1";1;700600;705003
"1.2";"Uppsala";"Bålsta";"Storregional";"2";"1";1;700600;105112
"1.2";"Uppsala";"Sävja";"Storregional";"2";"1";1;700600;700358
"1.2";"Uppsala";"Knivsta";"Storregional";"2";"1";1;700600;780050
"1.2";"Uppsala";"Skutskär";"Storregional";"2";"1";1;700600;719200
"1.2";"Uppsala";"Skutskär";"Storregional";"2";"1";1;700600;719006
"2.1";"Enköping";"Stockholm";"StorTatort";"2";"1";NA;781210;191718
"2.1";"Enköping";"Stockholm";"StorTatort";"2";"1";NA;781002;191718
"2.1";"Enköping";"Gävle";"StorTatort";"2";"1";NA;781210;480119
"2.1";"Enköping";"Gävle";"StorTatort";"2";"1";NA;781210;480334
"2.1";"Enköping";"Gävle";"StorTatort";"2";"1";NA;781002;480119
"2.1";"Enköping";"Gävle";"StorTatort";"2";"1";NA;781002;480334
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781210;660600
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781210;793052
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781210;793053
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781210;793139
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781002;660600
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781002;793052
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781002;793053
"2.1";"Enköping";"Västerås";"StorTatort";"2";"1";NA;781002;793139
"2.1";"Bålsta";"Stockholm";"StorTatort";"2";"1";NA;705003;191718
"2.1";"Bålsta";"Stockholm";"StorTatort";"2";"1";NA;105112;191718
"2.1";"Bålsta";"Gävle";"StorTatort";"2";"1";NA;705003;480119
"2.1";"Bålsta";"Gävle";"StorTatort";"2";"1";NA;705003;480334
"2.1";"Bålsta";"Gävle";"StorTatort";"2";"1";NA;105112;480119
