"Indikator";"StartTatort";"StopTatort";"Rusningstimmar";"Lagtrafiktimmar"
"1.1";"Uppsala";"Stockholm";1;1
"1.1";"Uppsala";"Gävle";0,71;0,92
"1.1";"Uppsala";"Västerås";0,57;0,92
"1.2";"Uppsala";"Enköping";1;1
"1.2";"Uppsala";"Bålsta";1;0,83
"1.2";"Uppsala";"Sävja";1;1
"1.2";"Uppsala";"Knivsta";1;1
"1.2";"Uppsala";"Skutskär";0,71;1
"2.1";"Enköping";"Stockholm";0,71;1
"2.1";"Enköping";"Gävle";0,43;0,42
"2.1";"Enköping";"Västerås";0,71;0,92
"2.1";"Bålsta";"Stockholm";1;1
"2.1";"Bålsta";"Gävle";0;0,08
"2.1";"Bålsta";"Västerås";0,57;0,92
"2.1";"Sävja";"Stockholm";0,71;1
"2.1";"Sävja";"Gävle";0,71;0,75
"2.1";"Sävja";"Västerås";0,43;0,83
"2.1";"Knivsta";"Stockholm";1;1
"2.1";"Knivsta";"Gävle";0,71;0,75
"2.1";"Knivsta";"Västerås";0,29;0,83
"2.1";"Skutskär";"Stockholm";0,86;0,83
"2.1";"Skutskär";"Gävle";1;1
"2.1";"Skutskär";"Västerås";0,14;0,75
"2.2";"Enköping";"Bålsta";0,86;1
"2.2";"Enköping";"Sävja";1;0,92
"2.2";"Enköping";"Knivsta";1;0,75
"2.2";"Enköping";"Skutskär";0,43;0,67
"2.2";"Bålsta";"Enköping";1;1
"2.2";"Bålsta";"Sävja";0;0,08
"2.2";"Bålsta";"Knivsta";0,14;1
"2.2";"Bålsta";"Skutskär";0;0,08
"2.2";"Sävja";"Enköping";1;1
"2.2";"Sävja";"Bålsta";0;0,17
"2.2";"Sävja";"Knivsta";0,71;1
"2.2";"Sävja";"Skutskär";0,71;1
"2.2";"Knivsta";"Enköping";1;1
"2.2";"Knivsta";"Bålsta";0,43;1
"2.2";"Knivsta";"Sävja";0,86;1
"2.2";"Knivsta";"Skutskär";0,71;1
"2.2";"Skutskär";"Enköping";0,86;0,83
"2.2";"Skutskär";"Bålsta";0;0,25
"2.2";"Skutskär";"Sävja";0,86;0,83
"2.2";"Skutskär";"Knivsta";0,86;0,83
"3.1";"Heby";"Uppsala";1;1
"3.1";"Heby";"Stockholm";0;1
"3.1";"Heby";"Gävle";0,14;0,5
"3.1";"Heby";"Västerås";0,43;0,83
"3.1";"Tierp";"Uppsala";1;1
"3.1";"Tierp";"Stockholm";1;1
"3.1";"Tierp";"Gävle";0,71;0,92
"3.1";"Tierp";"Västerås";0,29;0,83
"3.1";"Älvkarleby";"Uppsala";1;0,92
"3.1";"Älvkarleby";"Stockholm";0,14;0,92
"3.1";"Älvkarleby";"Gävle";1;1
"3.1";"Älvkarleby";"Västerås";0,14;0,75
"3.2";"Heby";"Enköping";0,43;0,92
"3.2";"Heby";"Bålsta";0,14;0,5
"3.2";"Heby";"Sävja";0,71;1
"3.2";"Heby";"Knivsta";0;1
"3.2";"Heby";"Skutskär";0,14;0,75
"3.2";"Tierp";"Enköping";1;1
"3.2";"Tierp";"Bålsta";0;0,17
"3.2";"Tierp";"Sävja";1;1
"3.2";"Tierp";"Knivsta";1;1
"3.2";"Tierp";"Skutskär";0,71;1
"3.2";"Älvkarleby";"Enköping";0,14;0,92
"3.2";"Älvkarleby";"Bålsta";0;0,25
"3.2";"Älvkarleby";"Sävja";0,14;0,92
"3.2";"Älvkarleby";"Knivsta";0,14;0,92
"3.2";"Älvkarleby";"Skutskär";1;1
