"hpl_id";"AllaLinjer"
"105005";"579"
"105112";"SL-pendeln Bålst"
"191001";"579"
"191002";"183_188"
"191003";"579_801_880"
"191004";"183_188"
"191006";"183_188"
"191007";"183_188"
"191008";"183_188"
"191009";"183_188"
"191010";"183_188"
"191011";"183_188"
"191015";"579"
"191016";"579"
"191017";"579"
"191018";"579"
"191019";"579"
"191025";"579"
"191027";"579"
"191028";"183_188_579"
"191040";"183_188_579"
"191044";"677_808"
"191045";"805_857"
"191067";"808"
"191068";"808"
"191069";"808"
"191070";"808"
"191071";"808"
"191074";"579_593_801_806"
"191076";"808"
"191077";"808"
"191078";"808"
"191079";"579"
"191081";"579"
"191082";"579"
"191085";"880"
"191086";"579_593_801_806"
"191087";"805"
"191088";"579_801_806_880"
"191089";"808"
"191113";"808"
"191114";"808"
"191115";"808"
"191116";"808"
"191117";"808"
"191118";"808"
"191119";"808"
"191120";"808"
"191121";"808"
"191122";"808"
"191123";"808"
"191124";"808"
"191125";"808"
"191126";"808"
"191127";"808"
"191128";"808"
"191129";"808"
"191130";"808"
"191132";"808"
"191134";"808"
"191135";"808"
"191136";"808"
"191137";"808"
"191138";"808"
"191139";"808"
"191140";"808"
"191141";"808"
"191142";"808"
"191143";"808"
"191144";"808"
"191145";"808"
"191146";"808"
"191147";"677"
"191148";"677"
"191149";"677"
"191150";"677"
"191151";"579_806"
"191152";"579"
"191153";"579"
"191154";"579"
"191155";"579"
"191156";"579"
"191157";"579_801_806_880"
"191158";"579"
"191159";"593"
"191166";"857"
"191167";"183_188"
"191169";"579"
"191170";"579_593_801"
"191172";"677"
"191173";"677"
"191174";"593"
"191180";"898"
"191182";"898"
"191183";"898"
"191185";"898"
"191186";"898"
"191210";"183_188"
"191211";"806"
"191214";"183"
"191215";"183_188"
"191216";"183_188"
"191217";"806"
"191218";"806"
"191220";"806"
"191221";"806"
"191222";"806"
"191223";"183_188_579"
"191225";"579_593_801_806"
"191226";"183_188_579"
"191227";"806"
"191228";"806"
"191229";"183_188_579"
"191230";"183_188"
"191231";"183_188"
"191233";"183_185_188"
"191234";"806"
"191237";"806"
"191238";"806"
"191239";"806"
"191240";"806"
"191242";"677"
"191243";"677"
"191244";"677"
"191245";"677"
"191246";"677"
"191247";"677"
"191249";"677"
"191250";"677"
"191252";"677"
"191253";"677"
"191254";"677"
"191255";"677"
"191256";"806"
"191257";"677"
"191258";"677"
"191259";"677"
"191260";"677"
"191262";"677"
"191263";"677"
"191264";"677"
"191265";"677"
"191267";"677"
"191268";"677"
"191269";"677"
"191270";"677"
"191271";"677"
"191272";"677"
"191273";"677"
"191276";"677"
"191277";"677"
"191278";"677"
"191282";"677"
"191286";"677"
"191287";"677"
"191290";"805"
"191291";"805"
"191293";"805_857"
"191294";"805_857"
"191295";"805_857"
"191296";"857"
"191297";"857"
"191298";"857"
"191299";"857"
"191300";"593_801"
"191304";"SL-pendeln"
"191306";"806"
"191329";"805"
"191330";"805_857"
"191332";"806"
"191333";"898"
"191334";"898"
"191347";"579_593"
"191701";"SL-pendeln"
"191702";"SL-pendeln"
"191703";"SL-pendeln"
"191704";"SL-pendeln"
"191705";"SL-pendeln"
"191706";"SL-pendeln"
"191707";"SL-pendeln"
"191709";"Upptåget Sala"
"191710";"SL-pendeln Bålst"
"191711";"SL-pendeln Bålst"
"191712";"SL-pendeln Bålst"
"191713";"SL-pendeln Bålst"
"191714";"SL-pendeln Bålst"
"191715";"SL-pendeln Bålst"
"191716";"SL-pendeln Bålst"
"191718";"SL-pendeln_SL-pendeln Bålst"
"191719";"SL-pendeln_SL-pendeln Bålst"
"191735";"579"
"191736";"579"
"191737";"579"
"191738";"579"
"191739";"579"
"191740";"579"
"191742";"593"
"191743";"593"
"191744";"593"
"191745";"593"
"191746";"593"
"191747";"593"
"191748";"593"
"194002";"876"
"194003";"876"
"194005";"876"
"194006";"876"
"194007";"876"
"194008";"876"
"194009";"876"
"194011";"876"
"194016";"876"
"194018";"876"
"194020";"876"
"194021";"876"
"194022";"876"
"194023";"876"
"194024";"876"
"194025";"876"
"194026";"876"
"194027";"876"
"480103";"501"
"480108";"510"
"480166";"501_510"
"480211";"501_510"
"480216";"501_510"
"480224";"501_510"
"480243";"501_510_753"
"480276";"501_510"
"480323";"501"
"480334";"501_510"
"480357";"501_510"
"480401";"501_753"
"480425";"501_510"
"480443";"501_510_753"
"480449";"501_510"
"480459";"501_510"
"480609";"510"
"480614";"501_510"
"480645";"501_510"
"480690";"501_510"
"480691";"501_510"
"492015";"501_510_753_Upptåget Gävle"
"660600";"773_774"
"700001";"11"
"700002";"1_3"
"700003";"1_9"
"700004";"7"
"700005";"7_751"
"700006";"3"
"700008";"6_30"
"700009";"3"
"700010";"3"
"700011";"3"
"700012";"3"
"700013";"3"
"700014";"3_4_7_11_31"
"700016";"3_4_31"
"700017";"3"
"700019";"3"
"700020";"3_11"
"700021";"1_3_4_8_11_12"
"700022";"3_11_107"
"700025";"3_4_8_30_100_101_107_188_896"
"700032";"6_9_100_103_104_105_106_108_109_110_111_115_514_772_773_774_804_821_823_844_848_895"
"700043";"9"
"700044";"9"
"700051";"6_30"
"700052";"6_30"
"700053";"1_7_30"
"700055";"30"
"700057";"7_30"
"700058";"7_30"
"700059";"7"
"700060";"7"
"700061";"7"
"700062";"2_3_4_7_88_116_118_119_751_775_777_805_811_886"
"700063";"5_8_9"
"700064";"11"
"700065";"1_2_7_11"
"700066";"1_11_12"
"700069";"2_7_12"
"700070";"2_7_12"
"700071";"12"
"700072";"2_7_12_30"
"700073";"7"
"700074";"7"
"700076";"7"
"700077";"7"
"700078";"7"
"700080";"7"
"700081";"7"
"700082";"11_751"
"700083";"8_11"
"700085";"8_11"
"700086";"8_11"
"700087";"7"
"700094";"1_6"
"700095";"6"
"700100";"6"
"700101";"6_12"
"700103";"6_12"
"700104";"5_6_12_108_109_752_773_774_804_848_895"
"700106";"6"
"700107";"6"
"700109";"6_12"
"700110";"2_6_7"
"700114";"110_115_752_823"
"700115";"2_110_115"
"700117";"2"
"700118";"2"
"700119";"2"
"700121";"2"
"700122";"2"
"700123";"2"
"700125";"1_2_752"
