"HplID";"Hpl_Wgs84North";"Hpl_Wgs84East";"Hpl_SwerefEast";"Hpl_SwerefNorth";"KommunNamn";"LanNamn";"TatortKod";"TatortNamn";"Befolkning2018";"TatortTyp"
"700141";59,8759714935547;17,6765351048775;649822,337180762;6640626,175859;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700256";59,8705024551435;17,6791563017007;649993,646131877;6640023,37721586;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700636";59,865321960515;17,6816857859676;650158,56725356;6639452,49446891;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700053";59,8607195080108;17,68522888495;650377,666141221;6638948,25859236;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700201";59,8576566535593;17,6890900575777;650607,667032344;6638616,12254404;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700203";59,8517978900278;17,6944519137722;650934,397108974;6637976,2225198;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700270";59,847939392372;17,6899150498378;650697,797124546;6637536,42498727;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700499";59,8460313571032;17,6940003235839;650935,224695679;6637333,35442244;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700547";59,8457176525482;17,673820193091;649806,422249118;6637252,62561745;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700401";59,8447909853572;17,6663459038083;649391,962775346;6637132,60218559;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700218";59,839555984757;17,6510865876017;648560,634325103;6636515,59874426;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700021";59,8399897690036;17,6399608779627;647935,469943123;6636538,98287687;"Uppsala";"Uppsala län";NA;NA;NA;"Utanför tätort"
"700525";59,8431577905149;17,6387613703692;647854,224986563;6636888,92621604;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700593";59,8493672106511;17,6364261138053;647695,903703866;6637574,86615015;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700066";59,8523449566573;17,6340555101865;647549,960469992;6637901,02609355;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700065";59,8548903776591;17,6324282444277;647447,574463867;6638180,72530443;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700094";59,8573721350879;17,6263172075477;647094,444556773;6638443,37441874;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700129";59,8616048368504;17,6182120564553;646622,017954329;6638896,53359194;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700322";59,8631221714731;17,613635281693;646359,135649922;6639055,30142626;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700003";59,8658108655908;17,6100498686452;646146,628928262;6639346,6568061;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700374";59,868859428532;17,6077153206669;646002,587266914;6639680,83749144;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700566";59,8696181530035;17,6139342805909;646347,324432097;6639779,01674546;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700552";59,8695360801738;17,6179472508886;646572,283847687;6639778,75647694;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700330";59,8694655142281;17,6243712882717;646932,136259267;6639785,13772367;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
"700532";59,8705674128842;17,6290918243901;647191,464619745;6639918,27018685;"Uppsala";"Uppsala län";"T0656";"Uppsala";160926;"Storregional kärn"
